index;norm;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
biology-n_23-m_166-p_0.5-17;0.0877;0.0672;0.0671;0.0732;0.0722;0.0742;0.0779;0.0706;0.0808;0.0664;0.0684;0.0697;0.0699;0.0688;0.0667;0.0701
biology-n_25-m_231-p_0.5-6;0.3286;0.2372;0.2309;0.2703;0.2627;0.2638;0.2404;0.2759;0.2355;0.2652;0.2365;0.2397;0.2742;0.2504;0.2396;0.2401
biology-n_25-m_231-p_0.75-6;0.2539;0.2197;0.22;0.2319;0.2347;0.2433;0.2284;0.2362;0.2176;0.2273;0.2188;0.224;0.2287;0.2163;0.2172;0.2298
biology-n_28-m_249-p_0.5-8;4.4436;3.9537;3.9862;3.8357;4.2063;4.4685;4.2327;4.1843;3.9369;3.9464;4.4988;4.0446;4.3838;3.9928;4.0001;3.9539
biology-n_30-m_287-p_0.5-5;3.1187;2.4471;2.5832;2.6445;2.8207;2.6468;2.7089;2.695;2.4488;2.4717;2.4862;2.525;2.5654;2.6153;2.4733;2.4786
biology-n_35-m_315-p_0.5-18;6.4809;4.1891;4.2884;4.2376;4.4411;4.4748;4.5693;4.5559;4.1345;4.1175;4.15;4.8625;4.4099;4.5805;4.2042;4.1723
biology-n_35-m_315-p_0.75-18;4.0358;2.1081;2.0663;2.0493;2.1025;2.2161;2.2519;2.2408;2.1609;2.076;2.0797;2.7139;2.2151;2.3384;2.1154;2.1026
biology-n_42-m_297-p_0.9-23;0.1136;0.0646;0.0641;0.0651;0.07;0.0694;0.0655;0.0757;0.0627;0.064;0.0692;0.064;0.0636;0.0632;0.0633;0.0688
biology-n_45-m_326-p_0.75-16;0.118;0.0886;0.0882;0.0925;0.09;0.1033;0.09;0.1066;0.0874;0.0977;0.0907;0.0976;0.0916;0.0901;0.0871;0.0871
biology-n_49-m_689-p_0.9-14;14.0582;12.9363;13.1911;12.6525;14.1133;14.7083;13.2466;14.4156;12.6122;12.4404;12.8441;13.6164;13.1981;12.7801;12.5622;13.2912
biology-n_59-m_624-p_0.9-1;3.0215;3.1331;2.9759;2.9962;3.3707;3.2816;3.2014;3.1322;2.919;2.9617;3.7553;3.0322;3.1061;3.1693;2.9964;3.2787
blogs-n_700;11.2319;10.5557;10.7049;10.2713;11.5831;11.6285;10.3794;12.1775;10.1768;10.2786;10.5076;11.0237;10.6351;10.4235;10.3438;10.7796
synth-n_100-m_346-k_30-p_0.05.txt;4.1444;4.0986;4.1122;4.0005;4.1808;4.4759;4.1717;4.8298;4.2112;4.3754;4.376;4.2354;4.1119;4.0838;4.1304;4.3201
synth-n_100-m_645-k_20-p_0.1.txt;1.0764;0.949;0.8871;0.7769;0.9687;0.9655;0.9614;0.9462;0.8859;0.914;1.0657;0.8808;1.0745;0.9458;0.9499;0.9007
synth-n_120-m_482-k_25-p_0.05.txt;1.5759;1.6335;1.5919;1.5372;1.6667;1.9256;1.586;1.7477;1.6035;1.5898;1.6321;1.6417;1.6342;1.5456;1.6663;1.7697
synth-n_140-m_625-k_25-p_0.05.txt;3.0648;3.0802;2.9917;2.8429;3.1705;3.4823;3.0571;3.2743;2.9754;3.0282;3.7588;3.3435;3.1905;3.3272;3.1243;3.3636
synth-n_50-m_357-k_20-p_0.2.txt;4.9713;4.8941;4.7997;4.8189;4.9862;5.4206;5.015;5.7202;4.9333;5.1745;5.3122;5.1922;5.0316;4.979;4.9382;5.0879
synth-n_60-m_271-k_20-p_0.1.txt;1.8465;1.6633;1.6052;1.5605;1.7736;1.8553;1.7555;1.7981;1.6096;1.5926;1.9804;1.6073;1.7776;1.5995;1.6339;1.5836
synth-n_70-m_312-k_20-p_0.1.txt;1.0441;1.0282;0.9687;0.9529;1.2256;1.0843;1.043;1.0657;0.9852;0.9666;1.0563;0.9741;0.9588;1.05;1.0104;1.1035
synth-n_80-m_402-k_20-p_0.1.txt;0.6631;0.7375;0.6556;0.6718;0.839;0.7798;0.7182;0.6941;0.6512;0.6554;0.7883;0.6562;0.7247;0.67;0.6525;0.6572
synth-n_90-m_327-k_30-p_0.05.txt;0.9196;0.5112;0.5221;0.5244;0.5371;0.5273;0.5261;0.5512;0.503;0.5065;0.5136;0.5257;0.5365;0.5318;0.5101;0.5242
synth-n_90-m_527-k_20-p_0.1.txt;1.7027;1.1394;1.1838;1.1081;1.271;1.1935;1.1696;1.2166;1.1331;1.1354;1.175;1.1895;1.2084;1.196;1.1589;1.1935
