index;norm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
biology-n_23-m_166-p_0.5-17;0.073;0.0933;0.0788;0.0729;0.0729;0.0689;0.0725;0.0725;0.0745;0.0702;0.0695;0.0743;0.0734;0.0708;0.0714;0.0729;0.0722
biology-n_25-m_231-p_0.5-6;0.2581;0.3033;0.2696;0.2601;0.2622;0.2487;0.269;0.2671;0.2492;0.249;0.2573;0.2534;0.2568;0.2612;0.246;0.2578;0.257
biology-n_25-m_231-p_0.75-6;0.2531;0.2906;0.2104;0.2108;0.2168;0.2201;0.2694;0.2227;0.2276;0.2425;0.2323;0.2259;0.2297;0.2346;0.2294;0.2267;0.2338
biology-n_28-m_249-p_0.5-8;4.2954;5.0541;4.2542;4.3216;4.1518;4.3594;4.1827;4.2987;4.1784;4.6672;4.2444;4.2141;4.2335;4.1415;4.1229;4.2253;4.2133
biology-n_30-m_287-p_0.5-5;2.6725;2.8921;2.5789;2.5582;2.567;2.5266;2.5812;2.5674;2.5685;2.5596;2.5841;2.5603;2.6311;2.6092;2.5791;2.6266;2.6231
biology-n_35-m_315-p_0.5-18;4.4657;6.3479;4.6122;4.4;4.3357;4.3609;4.388;4.3602;4.3572;4.3562;4.3667;4.3803;4.4159;4.4519;4.4261;4.5419;4.6144
biology-n_35-m_315-p_0.75-18;2.256;4.0193;2.4849;2.2802;2.2329;2.2468;2.297;2.309;2.3579;2.2968;2.2936;2.2967;2.3116;2.3161;2.3586;2.4167;2.2675
biology-n_42-m_297-p_0.9-23;0.0663;0.0668;0.0652;0.0626;0.0631;0.0692;0.0748;0.0698;0.0642;0.0674;0.0704;0.0682;0.0737;0.069;0.0764;0.0656;0.0702
biology-n_45-m_326-p_0.75-16;0.0968;0.1133;0.0958;0.1142;0.0903;0.0894;0.0932;0.0949;0.0924;0.1004;0.0899;0.0952;0.0981;0.09;0.094;0.0928;0.089
biology-n_49-m_689-p_0.9-14;13.4193;15.0975;12.9188;13.198;13.2234;12.8501;12.9753;13.2311;12.7764;13.4394;12.8073;13.0024;13.1282;13.2683;12.8603;12.948;13.211
biology-n_59-m_624-p_0.9-1;3.1803;4.2011;3.261;3.2836;3.1428;3.1916;3.1799;3.1771;3.1468;3.1543;3.3172;3.2716;3.1859;3.1533;3.1081;3.2039;3.0517
blogs-n_700;8.6579;20;17.2122;12.5113;11.4044;11.2211;11.2366;11.0622;10.8765;11.0171;10.7426;11.0517;10.7943;11.0374;10.8447;10.8884;10.812
synth-n_100-m_346-k_30-p_0.05.txt;4.3887;4.8774;4.3163;4.2754;4.2709;4.2289;4.2872;4.3157;4.2705;4.3614;4.3173;4.3024;4.3295;4.2793;4.3391;4.3158;4.268
synth-n_100-m_645-k_20-p_0.1.txt;0.9059;1.2845;0.7901;0.9717;0.835;0.9022;0.9265;1.0015;0.9137;1.252;0.8931;0.9666;0.9328;0.9197;0.9243;0.9068;0.942
synth-n_120-m_482-k_25-p_0.05.txt;1.6825;1.6661;1.5839;1.6556;1.6309;1.6366;1.6368;1.6149;1.6421;1.6375;1.6475;1.6825;1.6203;1.6261;1.6601;1.6679;1.6622
synth-n_140-m_625-k_25-p_0.05.txt;3.0316;1.7302;2.3074;2.806;2.8176;2.9828;2.995;3.1115;3.0889;2.9421;3.1365;3.459;3.1826;3.0981;3.1397;3.0167;3.1553
synth-n_50-m_357-k_20-p_0.2.txt;5.0596;5.5516;4.9572;4.9624;5.0163;5.1319;5.1996;5.227;5.1176;5.1318;5.3025;5.2663;5.1882;5.2078;5.1636;5.2099;5.0813
synth-n_60-m_271-k_20-p_0.1.txt;1.6469;2.4724;1.5889;1.6482;1.7172;1.7821;1.6402;1.6466;1.6495;1.7272;1.71;1.6486;1.6998;1.6367;1.6326;1.6936;1.6418
synth-n_70-m_312-k_20-p_0.1.txt;1.0034;0.8133;0.952;0.9859;1.0125;0.9917;1.0352;1.0348;1.0391;1.0114;1.0669;1.0659;1.0534;1.039;1.0134;1.0412;1.0039
synth-n_80-m_402-k_20-p_0.1.txt;0.6967;0.3535;0.6267;0.644;0.6667;0.7173;0.6901;0.7174;0.6869;0.718;0.7494;0.7357;0.7002;0.7045;0.7147;0.7211;0.7033
synth-n_90-m_327-k_30-p_0.05.txt;0.5394;0.7869;0.5829;0.5553;0.5461;0.5414;0.5622;0.5592;0.5318;0.556;0.5741;0.5526;0.5673;0.5527;0.5758;0.553;0.5493
synth-n_90-m_527-k_20-p_0.1.txt;1.2308;0.4463;0.7015;1.0065;1.1149;1.1376;1.1162;1.1824;1.1942;1.2039;1.2411;1.1964;1.2465;1.2378;1.2478;1.2604;1.2192
